id,place_category,location,description,image_url,name,phone,lot_address,road_address,created_at,updated_at
15738374,음식점,SRID=4326;POINT(127.092543969087 37.3902911895033),"안녕하세요! 방아깐입니다! 🤩  
신선한 해산물과 쫀득한 회를 가성비 좋게 즐기실 수 있습니다.  
포장도 가능하니, 오늘 저녁은 방아깐에서 맛있는 한상 어떠세요?",https://your-storage-path/more_photo/15738374.jpg,방아깐,031-8017-9107,경기 성남시 분당구 판교동 603-2,경기 성남시 분당구 판교공원로1길 55,,
26552003,음식점,SRID=4326;POINT(127.099112385899 37.3908408965592),"안녕하세요! 샘밭막국수 판교점입니다😄  
메밀 향 가득한 막국수와 곁들여 먹는 녹두전의 조화!  
깔끔하고 맛있는 음식과 함께 가족 외식 어떠세요?",https://your-storage-path/more_photo/26552003.jpg,샘밭막국수 판교점,031-8017-1712,경기 성남시 분당구 판교동 566-5,경기 성남시 분당구 서판교로44번길 13,,
21484277,음식점,SRID=4326;POINT(127.08878251993 37.3913068226745),"안녕하세요, 뚜에이오입니다! 😊  
신선한 재료로 만든 푸짐한 샐러드와 파스타, 피자까지!  
맛있는 음식과 함께 좋은 분위기에서 즐거운 시간 보내세요.",https://your-storage-path/more_photo/21484277.jpg,뚜에이오,031-8016-1865,경기 성남시 분당구 판교동 614,경기 성남시 분당구 판교공원로3길 24-2,,
23578650,음식점,SRID=4326;POINT(127.0996230895 37.3910531087092),"안녕하세요, 선한레시피 판교점입니다! 🍚  
깔끔하고 건강한 맛의 정갈한 한식 밥상을 즐겨보세요.  
엄마 손맛처럼 정성 가득한 음식들을 맛보실 수 있습니다.",https://your-storage-path/more_photo/23578650.jpg,선한레시피 판교점,031-705-3315,경기 성남시 분당구 판교동 567-5,경기 성남시 분당구 서판교로44번길 17-3,,
14589499,음식점,SRID=4326;POINT(127.08955522531404 37.39155131811151),"안녕하세요, 라비떼입니다! 😊
 신선한 재료로 정성껏 만든 맛있는 파스타와 화덕 피자를 즐겨보세요. 
 깔끔하고 편안한 분위기에서 특별한 시간을 보내실 수 있을 거예요!",https://your-storage-path/more_photo/14589499.jpg,라비떼,,경기 성남시 분당구 판교동 614-6,경기 성남시 분당구 판교공원로3길 16,,
16065056,음식점,SRID=4326;POINT(127.09300276802902 37.38964029121598),"안녕하세요, 샤슬릭입니다! 맛있는 양고기와 파스타, 피자를 맛보러 오세요. 😋
분위기 좋은 공간에서 가족, 연인, 친구들과 잊지 못할 추억을 만들어 보세요.
친절한 서비스와 맛있는 음식으로 여러분을 맞이하겠습니다!",https://your-storage-path/more_photo/16065056.jpg,샤슬릭,031-8016-6262,경기 성남시 분당구 판교동 599,경기 성남시 분당구 판교공원로2길 45,,
26878413,음식점,SRID=4326;POINT(127.099596960059 37.3917883649643),"안녕하세요, 전국5대짬뽕연화산입니다! 🍜
얼큰하고 맛있는 짬뽕과 다양한 중식 요리를 맛보세요!
푸짐한 양과 포장 가능으로 언제든 즐기실 수 있답니다.",https://your-storage-path/more_photo/26878413.jpg,전국5대짬뽕연화산,031-781-6350,경기 성남시 분당구 판교동 567-1,경기 성남시 분당구 서판교로58번길 14,,
708092398,음식점,SRID=4326;POINT(127.093826013936 37.3896666715851),"안녕하세요! 오스테리아 워모잡입니다 😊  
신선한 재료로 만든 파스타와 스테이크는 물론, 분위기 좋은 공간에서 즐거운 식사 경험을 선사해 드립니다.  
가족 모임, 데이트, 특별한 날에 워모잡을 찾아주세요!",https://your-storage-path/more_photo/708092398.jpg,오스테리아 워모잡,010-3005-9541,경기 성남시 분당구 판교동 600-5,경기 성남시 분당구 판교공원로2길 40-1,,
18828291,음식점,SRID=4326;POINT(127.09160994448985 37.39017748690325),"안녕하세요! '장비빔국수와 굴국밥보쌈'입니다😋  
매콤달콤한 장비빔국수와 시원한 굴국밥의 환상적인 조합!  
싱싱한 굴과 푸짐한 양으로 여러분의 입맛을 사로잡겠습니다.",https://your-storage-path/more_photo/18828291.jpg,장비빔국수와 굴국밥보쌈,031-8016-3158,경기 성남시 분당구 판교동 601-4,경기 성남시 분당구 판교공원로2길 60,,
8206412,음식점,SRID=4326;POINT(127.094990528993 37.3818268395473),"안녕하세요, 긴자 백현점입니다! ✨

깔끔하고 고급스러운 분위기에서 신선한 일식 코스를 즐겨보세요. 가족 모임이나 특별한 날, 최고의 선택이 되실 거예요!",https://your-storage-path/more_photo/8206412.jpg,긴자 백현점,031-705-6606,경기 성남시 분당구 백현동 489-4,경기 성남시 분당구 판교백현로 37,,
